n_levels,seed,curve_id,vr_class,segment_count,segment_rmse_mean,segment_d1_rmse_mean,segment_d2_rmse_mean,position_error_abs_mean,amplitude_error_abs_mean,target_oscillation_range,pred_oscillation_range,oscillation_ratio,flatline_guard_pass
5,2,1,0.0,7,0.06593588693217786,0.045475315232878954,0.030683660884012386,1.2857142857142858,0.0671053443636213,2.8450000286102295,2.823565289378166,0.9924658210838282,True
5,2,2,4.0,8,0.038898583799992364,0.031134562732584935,0.035129944318492354,0.1875,0.03932899981737137,2.609999895095825,2.5479285791516304,0.976217885655541,True
5,2,3,6.0,9,0.048297845549907514,0.03570960727852358,0.04134112908068678,1.2222222222222223,0.04748029841317071,2.499000072479248,2.4863522052764893,0.9949388287971473,True
5,2,4,8.0,8,0.04100675132326563,0.03238461536391911,0.044360164094296065,0.125,0.04210326820611954,2.2760000228881836,2.25115966796875,0.989085960162728,True
5,2,5,10.0,8,0.06489441979800649,0.043098919247595145,0.03142042181129504,0.375,0.0401659719645977,1.9759999513626099,1.922071099281311,0.972708070137294,True
6,0,1,0.0,7,0.0660286491273656,0.045826084609944626,0.030641643595353128,1.2857142857142858,0.06652571473802839,2.8450000286102295,2.822189673781395,0.991982300668033,True
6,0,2,4.0,8,0.03696914489728679,0.029484535841671676,0.03318103265234806,0.1875,0.03818071633577347,2.609999895095825,2.5426299571990967,0.9741877622204828,True
6,0,3,6.0,9,0.04670196934891059,0.03356499041113783,0.0397111395086613,1.2222222222222223,0.046462059020996094,2.499000072479248,2.4790260791778564,0.9920072057934854,True
6,0,4,8.0,8,0.03846637859841941,0.03009466313174124,0.0429625351854514,0.125,0.039651401340961456,2.2760000228881836,2.2458224296569824,0.9867409521407181,True
6,0,5,10.0,8,0.0639976802166179,0.042534167044595596,0.03131000277911093,0.375,0.038809824734926224,1.9759999513626099,1.9126250743865967,0.9679276930486203,True
6,1,1,0.0,7,0.0660286491273656,0.045826084609944626,0.030641643595353128,1.2857142857142858,0.06652571473802839,2.8450000286102295,2.822189673781395,0.991982300668033,True
6,1,2,4.0,8,0.03696914489728679,0.029484535841671676,0.03318103265234806,0.1875,0.03818071633577347,2.609999895095825,2.5426299571990967,0.9741877622204828,True
6,1,3,6.0,9,0.04670196934891059,0.03356499041113783,0.0397111395086613,1.2222222222222223,0.046462059020996094,2.499000072479248,2.4790260791778564,0.9920072057934854,True
6,1,4,8.0,8,0.03846637859841941,0.03009466313174124,0.0429625351854514,0.125,0.039651401340961456,2.2760000228881836,2.2458224296569824,0.9867409521407181,True
6,1,5,10.0,8,0.0639976802166179,0.042534167044595596,0.03131000277911093,0.375,0.038809824734926224,1.9759999513626099,1.9126250743865967,0.9679276930486203,True
6,2,1,0.0,7,0.0660286491273656,0.045826084609944626,0.030641643595353128,1.2857142857142858,0.06652571473802839,2.8450000286102295,2.822189673781395,0.991982300668033,True
6,2,2,4.0,8,0.03696914489728679,0.029484535841671676,0.03318103265234806,0.1875,0.03818071633577347,2.609999895095825,2.5426299571990967,0.9741877622204828,True
6,2,3,6.0,9,0.04670196934891059,0.03356499041113783,0.0397111395086613,1.2222222222222223,0.046462059020996094,2.499000072479248,2.4790260791778564,0.9920072057934854,True
6,2,4,8.0,8,0.03846637859841941,0.03009466313174124,0.0429625351854514,0.125,0.039651401340961456,2.2760000228881836,2.2458224296569824,0.9867409521407181,True
6,2,5,10.0,8,0.0639976802166179,0.042534167044595596,0.03131000277911093,0.375,0.038809824734926224,1.9759999513626099,1.9126250743865967,0.9679276930486203,True
7,0,1,0.0,7,0.06631459959493062,0.045573197986034146,0.03060129218311176,1.2857142857142858,0.06673567635672432,2.8450000286102295,2.8217585682868958,0.9918307697400316,True
7,0,2,4.0,8,0.036051650980914535,0.029159719364432,0.03254979625061889,0.1875,0.03658834844827652,2.609999895095825,2.538989782333374,0.9727930591507383,True
7,0,3,6.0,9,0.045775560515487035,0.032956023540895135,0.03933935319573452,1.2222222222222223,0.04404484563403659,2.499000072479248,2.477017402648926,0.9912034136883744,True
7,0,4,8.0,8,0.03685459795185882,0.02924841402479123,0.04269057272592264,0.125,0.03727570176124573,2.2760000228881836,2.2485151290893555,0.9879240362379476,True
7,0,5,10.0,8,0.06297795447587003,0.042213567997365226,0.031729818860848275,0.375,0.04076744616031647,1.9759999513626099,1.904573678970337,0.9638531001263341,True
7,1,1,0.0,7,0.06631459959493062,0.045573197986034146,0.03060129218311176,1.2857142857142858,0.06673567635672432,2.8450000286102295,2.8217585682868958,0.9918307697400316,True
7,1,2,4.0,8,0.036051650980914535,0.029159719364432,0.03254979625061889,0.1875,0.03658834844827652,2.609999895095825,2.538989782333374,0.9727930591507383,True
