analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius
seed_jitter,original,5,3,3,11.964637756347656,0.12761589884757996,0.07772305086255074,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,5,3,4,12.791427612304688,0.07138413190841675,0.07772305086255074,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,5,3,5,14.009172439575195,0.15084227919578552,0.07772305086255074,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_003/full/scorecard.json,4,,
seed_jitter,original,5,4,1,11.419666290283203,0.17820218205451965,0.07769597917795182,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,5,4,2,11.65676498413086,0.4701429307460785,0.07769597917795182,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,5,4,3,11.963865280151367,0.12960711121559143,0.07769597917795182,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,5,4,4,12.793172836303711,0.07184601575136185,0.07769597917795182,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,5,4,5,14.01309585571289,0.150201678276062,0.07769597917795182,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_004/full/scorecard.json,4,,
seed_jitter,original,5,5,1,11.420592308044434,0.18019096553325653,0.07772240415215492,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,5,5,2,11.657771110534668,0.47056320309638977,0.07772240415215492,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,5,5,3,11.965532302856445,0.12724824249744415,0.07772240415215492,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,5,5,4,12.789963722229004,0.07148171216249466,0.07772240415215492,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,5,5,5,14.006425857543945,0.1505158543586731,0.07772240415215492,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_005/full/scorecard.json,4,,
seed_jitter,original,5,6,1,11.419272422790527,0.1802164614200592,0.07769474610686303,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,5,6,2,11.657757759094238,0.46978700160980225,0.07769474610686303,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,5,6,3,11.965921401977539,0.12766551971435547,0.07769474610686303,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,5,6,4,12.797383308410645,0.07163992524147034,0.07769474610686303,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,5,6,5,14.019153594970703,0.15069109201431274,0.07769474610686303,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_006/full/scorecard.json,4,,
seed_jitter,original,5,7,1,11.419466018676758,0.18059636652469635,0.07778994664549828,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,5,7,2,11.656047821044922,0.4702915847301483,0.07778994664549828,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,5,7,3,11.963632583618164,0.12728525698184967,0.07778994664549828,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,5,7,4,12.792753219604492,0.07123773545026779,0.07778994664549828,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,5,7,5,14.00943374633789,0.15058903396129608,0.07778994664549828,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_007/full/scorecard.json,4,,
seed_jitter,original,5,8,1,11.420525550842285,0.17946335673332214,0.07768483012914658,output/sensitivity/uncertainty/seed_jitter/original/fullscan/levels/L05/seeds/seed_008/full/scorecard.json,4,,
