analysis,condition,n_levels,seed,channel,energy_v,weight,rmse_mean,scorecard_path,selected_k,replicate,peak_window_radius,anchor_channel,anchor_energy_v,anchor_weight,matched_channel,energy_delta_v,matching_method
noise_perturbation,replicate_004,4,1,1,11.501585006713867,0.37586382031440735,0.08360801935195923,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,4.0,nan,1,11.500251770019531,0.3593961000442505,1,0.0013332366943359375,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,1,2,11.733551979064941,0.38557836413383484,0.08360801935195923,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,4.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.005703926086425781,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,1,3,12.617084503173828,0.08505482971668243,0.08360801935195923,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,4.0,nan,3,12.59369945526123,0.08622404932975769,3,0.023385047912597656,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,1,4,13.950039863586426,0.153502956032753,0.08360801935195923,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_001/full/scorecard.json,4,4.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.014678955078125,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,2,1,11.502025604248047,0.37845543026924133,0.0835978627204895,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,4.0,nan,1,11.500251770019531,0.3593961000442505,1,0.001773834228515625,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,2,2,11.733856201171875,0.384673535823822,0.0835978627204895,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,4.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.0053997039794921875,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,2,3,12.617105484008789,0.08445417135953903,0.0835978627204895,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,4.0,nan,3,12.59369945526123,0.08622404932975769,3,0.023406028747558594,minimum_total_absolute_energy_delta
noise_perturbation,replicate_004,4,2,4,13.951578140258789,0.15241676568984985,0.0835978627204895,output/sensitivity/uncertainty/noise_perturbation/replicate_004/fullscan/levels/L04/seeds/seed_002/full/scorecard.json,4,4.0,nan,4,13.96471881866455,0.15827499330043793,4,-0.013140678405761719,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,0,1,11.505874633789062,0.3250482976436615,0.08280581682920456,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,5.0,nan,1,11.500251770019531,0.3593961000442505,1,0.00562286376953125,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,0,2,11.736156463623047,0.43923041224479675,0.08280581682920456,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,5.0,nan,2,11.739255905151367,0.3961048126220703,2,-0.0030994415283203125,minimum_total_absolute_energy_delta
noise_perturbation,replicate_005,4,0,3,12.533256530761719,0.08468737453222275,0.08280581682920456,output/sensitivity/uncertainty/noise_perturbation/replicate_005/fullscan/levels/L04/seeds/seed_000/full/scorecard.json,4,5.0,nan,3,12.59369945526123,0.08622404932975769,3,-0.06044292449951172,minimum_total_absolute_energy_delta
